x_tx,y_tx,z_tx,x_rx,y_rx,z_rx,throughput_kbps
0,0,0,2,0,0,28835.5
0,0,0,2,2,0,28826.6
0,0,0,2,4,0,28855.7
0,0,0,2,5,0,28860.2
0,0,0,2,6,0,28757.1
0,0,0,2,7,0,28593.6
0,0,0,3,0,0,28833.3
0,0,0,4,0,0,28828.8
0,0,0,5,0,0,28835.5
0,0,0,6,0,0,28833.3
0,0,0,7,0,0,28665.3
0,0,0,8,0,0,27657.3
0,0,0,9,0,0,25954.9
0,0,0,10,0,0,20337
0,0,0,11,0,0,21201.6
0,0,0,12,0,0,18616.6
0,0,0,13,0,0,20583.4
0,0,0,14,0,0,20536.3
0,0,0,15,0,0,20538.6
0,0,0,16,0,0,20377.3
0,0,0,17,0,0,19768
0,0,0,18,0,0,18323.2
0,0,0,19,0,0,15131.2
0,0,0,20,0,0,14065
0,0,0,21,0,0,14896
0,0,0,22,0,0,15081.9
0,0,0,23,0,0,15061.8
0,0,0,24,0,0,14983.4
