x_tx,y_tx,z_tx,x_rx,y_rx,z_rx,throughput_kbps
0,0,0,2,0,0,28835.5
0,0,0,2,2,0,28866.9
0,0,0,2,4,0,28896
0,0,0,2,5,0,28826.6
0,0,0,2,6,0,28710.1
0,0,0,2,7,0,28533.1
0,0,0,3,0,0,28784
0,0,0,4,0,0,28840
0,0,0,5,0,0,28846.7
0,0,0,6,0,0,28837.8
0,0,0,7,0,0,28723.5
0,0,0,8,0,0,27632.6
0,0,0,9,0,0,25889.9
0,0,0,10,0,0,21042.6
0,0,0,11,0,0,21069.4
0,0,0,12,0,0,18618.9
0,0,0,13,0,0,20637.1
0,0,0,14,0,0,20552
0,0,0,15,0,0,20536.3
0,0,0,16,0,0,20379.5
0,0,0,17,0,0,19821.8
0,0,0,18,0,0,18341.1
0,0,0,19,0,0,14528.6
0,0,0,20,0,0,15357.4
0,0,0,21,0,0,14893.8
0,0,0,22,0,0,15073
0,0,0,23,0,0,15075.2
0,0,0,24,0,0,15043.8
