x_tx,y_tx,z_tx,x_rx,y_rx,z_rx,throughput_kbps
0,0,0,2,0,0,28842.2
0,0,0,2,2,0,28857.9
0,0,0,2,4,0,28835.5
0,0,0,2,5,0,28873.6
0,0,0,2,6,0,28721.3
0,0,0,2,7,0,28591.4
0,0,0,3,0,0,28815.4
0,0,0,4,0,0,28849
0,0,0,5,0,0,28793
0,0,0,6,0,0,28849
0,0,0,7,0,0,28636.2
0,0,0,8,0,0,27601.3
0,0,0,9,0,0,25883.2
0,0,0,10,0,0,20968.6
0,0,0,11,0,0,21136.6
0,0,0,12,0,0,18607.7
0,0,0,13,0,0,20623.7
0,0,0,14,0,0,20549.8
0,0,0,15,0,0,20509.4
0,0,0,16,0,0,20384
0,0,0,17,0,0,19837.4
0,0,0,18,0,0,18224.6
0,0,0,19,0,0,14887
0,0,0,20,0,0,15126.7
0,0,0,21,0,0,14710.1
0,0,0,22,0,0,14922.9
0,0,0,23,0,0,15005.8
0,0,0,24,0,0,14900.5
