x_tx,y_tx,z_tx,x_rx,y_rx,z_rx,throughput_kbps
0,0,0,2,0,0,28840
0,0,0,2,2,0,28835.5
0,0,0,2,4,0,28837.8
0,0,0,2,5,0,28815.4
0,0,0,2,6,0,28741.4
0,0,0,2,7,0,28571.2
0,0,0,3,0,0,28835.5
0,0,0,4,0,0,28824.3
0,0,0,5,0,0,28831
0,0,0,6,0,0,28857.9
0,0,0,7,0,0,28645.1
0,0,0,8,0,0,27639.4
0,0,0,9,0,0,26017.6
0,0,0,10,0,0,20466.9
0,0,0,11,0,0,20849.9
0,0,0,12,0,0,18659.2
0,0,0,13,0,0,20511.7
0,0,0,14,0,0,20511.7
0,0,0,15,0,0,20511.7
0,0,0,16,0,0,20442.2
0,0,0,17,0,0,19812.8
0,0,0,18,0,0,18186.6
0,0,0,19,0,0,14905
0,0,0,20,0,0,15339.5
0,0,0,21,0,0,14835.5
0,0,0,22,0,0,14936.3
0,0,0,23,0,0,15050.6
0,0,0,24,0,0,14974.4
