x_tx,y_tx,z_tx,x_rx,y_rx,z_rx,throughput_kbps
0,0,0,2,0,0,28873.6
0,0,0,2,2,0,28864.6
0,0,0,2,4,0,28860.2
0,0,0,2,5,0,28799.7
0,0,0,2,6,0,28745.9
0,0,0,2,7,0,28560
0,0,0,3,0,0,28862.4
0,0,0,4,0,0,28853.4
0,0,0,5,0,0,28826.6
0,0,0,6,0,0,28866.9
0,0,0,7,0,0,28618.2
0,0,0,8,0,0,27561
0,0,0,9,0,0,25939.2
0,0,0,10,0,0,20350.4
0,0,0,11,0,0,20957.4
0,0,0,12,0,0,18571.8
0,0,0,13,0,0,20605.8
0,0,0,14,0,0,20446.7
0,0,0,15,0,0,20487
0,0,0,16,0,0,20386.2
0,0,0,17,0,0,19868.8
0,0,0,18,0,0,18354.6
0,0,0,19,0,0,14987.8
0,0,0,20,0,0,15294.7
0,0,0,21,0,0,14842.2
0,0,0,22,0,0,15041.6
0,0,0,23,0,0,15090.9
0,0,0,24,0,0,15068.5
