x_tx,y_tx,z_tx,x_rx,y_rx,z_rx,throughput_kbps
0,0,0,2,0,0,28813.1
0,0,0,2,2,0,28853.4
0,0,0,2,4,0,28853.4
0,0,0,2,5,0,28873.6
0,0,0,2,6,0,28770.6
0,0,0,2,7,0,28537.6
0,0,0,3,0,0,28833.3
0,0,0,4,0,0,28851.2
0,0,0,5,0,0,28846.7
0,0,0,6,0,0,28790.7
0,0,0,7,0,0,28649.6
0,0,0,8,0,0,27673
0,0,0,9,0,0,25786.9
0,0,0,10,0,0,21188.2
0,0,0,11,0,0,20941.8
0,0,0,12,0,0,18818.2
0,0,0,13,0,0,20502.7
0,0,0,14,0,0,20513.9
0,0,0,15,0,0,20545.3
0,0,0,16,0,0,20413.1
0,0,0,17,0,0,19889
0,0,0,18,0,0,18415
0,0,0,19,0,0,14754.9
0,0,0,20,0,0,14891.5
0,0,0,21,0,0,14952
0,0,0,22,0,0,15124.5
0,0,0,23,0,0,15167
0,0,0,24,0,0,15059.5
