x_tx,y_tx,z_tx,x_rx,y_rx,z_rx,throughput_kbps
0,0,0,2,0,0,12040
0,0,0,2,2,0,15639.7
0,0,0,2,4,0,18146.2
0,0,0,2,5,0,17991.7
0,0,0,2,6,0,12273
0,0,0,2,7,0,15442.6
0,0,0,3,0,0,12026.6
0,0,0,4,0,0,11457.6
0,0,0,5,0,0,11858.6
0,0,0,6,0,0,10904.3
0,0,0,7,0,0,10852.8
0,0,0,8,0,0,10286.1
0,0,0,9,0,0,10420.5
0,0,0,10,0,0,9343.04
0,0,0,11,0,0,9403.52
0,0,0,12,0,0,10339.8
0,0,0,13,0,0,9446.08
0,0,0,14,0,0,9439.36
0,0,0,15,0,0,8798.72
0,0,0,16,0,0,9511.04
0,0,0,17,0,0,9208.64
0,0,0,18,0,0,9036.16
0,0,0,19,0,0,8946.56
0,0,0,20,0,0,8904
0,0,0,21,0,0,9143.68
0,0,0,22,0,0,8064
0,0,0,23,0,0,7707.84
0,0,0,24,0,0,7754.88
