x_tx,y_tx,z_tx,x_rx,y_rx,z_rx,throughput_kbps
0,0,0,2,0,0,12181.1
0,0,0,2,2,0,15852.5
0,0,0,2,4,0,18052.2
0,0,0,2,5,0,17794.6
0,0,0,2,6,0,12051.2
0,0,0,2,7,0,15505.3
0,0,0,3,0,0,12228.2
0,0,0,4,0,0,12062.4
0,0,0,5,0,0,12219.2
0,0,0,6,0,0,10561.6
0,0,0,7,0,0,11273.9
0,0,0,8,0,0,10877.4
0,0,0,9,0,0,10454.1
0,0,0,10,0,0,9576
0,0,0,11,0,0,9712.64
0,0,0,12,0,0,9517.76
0,0,0,13,0,0,9853.76
0,0,0,14,0,0,9269.12
0,0,0,15,0,0,10037.4
0,0,0,16,0,0,10158.4
0,0,0,17,0,0,9011.52
0,0,0,18,0,0,9072
0,0,0,19,0,0,9488.64
0,0,0,20,0,0,8960
0,0,0,21,0,0,9363.2
0,0,0,22,0,0,7638.4
0,0,0,23,0,0,7882.56
0,0,0,24,0,0,7907.2
