x_tx,y_tx,z_tx,x_rx,y_rx,z_rx,throughput_kbps
0,0,0,2,0,0,11636.8
0,0,0,2,2,0,15344
0,0,0,2,4,0,17946.9
0,0,0,2,5,0,18220.2
0,0,0,2,6,0,12109.4
0,0,0,2,7,0,15738.2
0,0,0,3,0,0,11773.4
0,0,0,4,0,0,11428.5
0,0,0,5,0,0,11789.1
0,0,0,6,0,0,10884.2
0,0,0,7,0,0,11166.4
0,0,0,8,0,0,9752.96
0,0,0,9,0,0,9788.8
0,0,0,10,0,0,10196.5
0,0,0,11,0,0,10080
0,0,0,12,0,0,9983.68
0,0,0,13,0,0,9197.44
0,0,0,14,0,0,10055.4
0,0,0,15,0,0,9219.84
0,0,0,16,0,0,9345.28
0,0,0,17,0,0,8453.76
0,0,0,18,0,0,8657.6
0,0,0,19,0,0,9152.64
0,0,0,20,0,0,8574.72
0,0,0,21,0,0,8462.72
0,0,0,22,0,0,8037.12
0,0,0,23,0,0,7994.56
0,0,0,24,0,0,8005.76
