x_tx,y_tx,z_tx,x_rx,y_rx,z_rx,throughput_kbps
0,0,0,2,0,0,12087
0,0,0,2,2,0,15633
0,0,0,2,4,0,18191
0,0,0,2,5,0,17814.7
0,0,0,2,6,0,12107.2
0,0,0,2,7,0,15489.6
0,0,0,3,0,0,11842.9
0,0,0,4,0,0,11688.3
0,0,0,5,0,0,11894.4
0,0,0,6,0,0,9997.12
0,0,0,7,0,0,10068.8
0,0,0,8,0,0,9726.08
0,0,0,9,0,0,9905.28
0,0,0,10,0,0,9242.24
0,0,0,11,0,0,9396.8
0,0,0,12,0,0,9567.04
0,0,0,13,0,0,9549.12
0,0,0,14,0,0,9793.28
0,0,0,15,0,0,9674.56
0,0,0,16,0,0,9952.32
0,0,0,17,0,0,9260.16
0,0,0,18,0,0,9130.24
0,0,0,19,0,0,9072
0,0,0,20,0,0,8821.12
0,0,0,21,0,0,8496.32
0,0,0,22,0,0,7788.48
0,0,0,23,0,0,7909.44
0,0,0,24,0,0,8117.76
