x_tx,y_tx,z_tx,x_rx,y_rx,z_rx,throughput_kbps
0,0,0,2,0,0,12006.4
0,0,0,2,2,0,15984.6
0,0,0,2,4,0,18144
0,0,0,2,5,0,18235.8
0,0,0,2,6,0,12290.9
0,0,0,2,7,0,15733.8
0,0,0,3,0,0,12351.4
0,0,0,4,0,0,11287.4
0,0,0,5,0,0,11990.7
0,0,0,6,0,0,10321.9
0,0,0,7,0,0,11132.8
0,0,0,8,0,0,10156.2
0,0,0,9,0,0,10301.8
0,0,0,10,0,0,9856
0,0,0,11,0,0,9293.76
0,0,0,12,0,0,9468.48
0,0,0,13,0,0,9912
0,0,0,14,0,0,9654.4
0,0,0,15,0,0,9717.12
0,0,0,16,0,0,9802.24
0,0,0,17,0,0,8774.08
0,0,0,18,0,0,9168.32
0,0,0,19,0,0,9018.24
0,0,0,20,0,0,9416.96
0,0,0,21,0,0,8668.8
0,0,0,22,0,0,8220.8
0,0,0,23,0,0,7884.8
0,0,0,24,0,0,8155.84
