x_tx,y_tx,z_tx,x_rx,y_rx,z_rx,throughput_kbps
0,0,0,2,0,0,11825
0,0,0,2,2,0,15494.1
0,0,0,2,4,0,17559.4
0,0,0,2,5,0,17613.1
0,0,0,2,6,0,12053.4
0,0,0,2,7,0,15019.2
0,0,0,3,0,0,11659.2
0,0,0,4,0,0,10747.5
0,0,0,5,0,0,11426.2
0,0,0,6,0,0,10756.5
0,0,0,7,0,0,10263.7
0,0,0,8,0,0,9961.28
0,0,0,9,0,0,10879.7
0,0,0,10,0,0,9947.84
0,0,0,11,0,0,9334.08
0,0,0,12,0,0,9544.64
0,0,0,13,0,0,9242.24
0,0,0,14,0,0,10095.7
0,0,0,15,0,0,10071
0,0,0,16,0,0,9188.48
0,0,0,17,0,0,8514.24
0,0,0,18,0,0,8888.32
0,0,0,19,0,0,9072
0,0,0,20,0,0,9325.12
0,0,0,21,0,0,9262.4
0,0,0,22,0,0,7848.96
0,0,0,23,0,0,7880.32
0,0,0,24,0,0,8276.8
