x_tx,y_tx,z_tx,x_rx,y_rx,z_rx,throughput_kbps
0,0,0,2,0,0,11540.5
0,0,0,2,2,0,15364.2
0,0,0,2,4,0,17949.1
0,0,0,2,5,0,17772.2
0,0,0,2,6,0,11907.8
0,0,0,2,7,0,15366.4
0,0,0,3,0,0,12125.1
0,0,0,4,0,0,10586.2
0,0,0,5,0,0,11587.5
0,0,0,6,0,0,9761.92
0,0,0,7,0,0,10554.9
0,0,0,8,0,0,10411.5
0,0,0,9,0,0,10158.4
0,0,0,10,0,0,9806.72
0,0,0,11,0,0,9304.96
0,0,0,12,0,0,9455.04
0,0,0,13,0,0,9441.6
0,0,0,14,0,0,9584.96
0,0,0,15,0,0,9981.44
0,0,0,16,0,0,9363.2
0,0,0,17,0,0,9322.88
0,0,0,18,0,0,8854.72
0,0,0,19,0,0,9490.88
0,0,0,20,0,0,9443.84
0,0,0,21,0,0,8910.72
0,0,0,22,0,0,7808.64
0,0,0,23,0,0,7846.72
0,0,0,24,0,0,7878.08
