x_tx,y_tx,z_tx,x_rx,y_rx,z_rx,throughput_kbps
0,0,0,2,0,0,28896
0,0,0,2,2,0,28828.8
0,0,0,2,4,0,28804.2
0,0,0,2,5,0,28799.7
0,0,0,2,6,0,28763.8
0,0,0,2,7,0,28557.8
0,0,0,3,0,0,28822.1
0,0,0,4,0,0,28869.1
0,0,0,5,0,0,28878.1
0,0,0,6,0,0,28840
0,0,0,7,0,0,28660.8
0,0,0,8,0,0,27681.9
0,0,0,9,0,0,25827.2
0,0,0,10,0,0,21268.8
0,0,0,11,0,0,20953
0,0,0,12,0,0,18455.4
0,0,0,13,0,0,20549.8
0,0,0,14,0,0,20531.8
0,0,0,15,0,0,20478.1
0,0,0,16,0,0,20397.4
0,0,0,17,0,0,19980.8
0,0,0,18,0,0,18399.4
0,0,0,19,0,0,14880.3
0,0,0,20,0,0,15234.2
0,0,0,21,0,0,14786.2
0,0,0,22,0,0,14999
0,0,0,23,0,0,15064
0,0,0,24,0,0,14994.6
