x_tx,y_tx,z_tx,x_rx,y_rx,z_rx,throughput_kbps
0,0,0,2,0,0,28907.2
0,0,0,2,2,0,28869.1
0,0,0,2,4,0,28857.9
0,0,0,2,5,0,28893.8
0,0,0,2,6,0,28763.8
0,0,0,2,7,0,28622.7
0,0,0,3,0,0,28819.8
0,0,0,4,0,0,28804.2
0,0,0,5,0,0,28817.6
0,0,0,6,0,0,28871.4
0,0,0,7,0,0,28705.6
0,0,0,8,0,0,27464.6
0,0,0,9,0,0,25984
0,0,0,10,0,0,20471.4
0,0,0,11,0,0,21002.2
0,0,0,12,0,0,18538.2
0,0,0,13,0,0,20536.3
0,0,0,14,0,0,20516.2
0,0,0,15,0,0,20525.1
0,0,0,16,0,0,20377.3
0,0,0,17,0,0,19844.2
0,0,0,18,0,0,18235.8
0,0,0,19,0,0,14929.6
0,0,0,20,0,0,14389.8
0,0,0,21,0,0,14833.3
0,0,0,22,0,0,15140.2
0,0,0,23,0,0,15106.6
0,0,0,24,0,0,15008
