x_tx,y_tx,z_tx,x_rx,y_rx,z_rx,throughput_kbps
0,0,0,2,0,0,28835.5
0,0,0,2,2,0,28866.9
0,0,0,2,4,0,28896
0,0,0,2,5,0,28665.3
0,0,0,2,6,0,26304.3
0,0,0,2,7,0,19889
0,0,0,3,0,0,28813.1
0,0,0,4,0,0,28822.1
0,0,0,5,0,0,28734.7
0,0,0,6,0,0,26877.8
0,0,0,7,0,0,21710.1
0,0,0,8,0,0,20052.5
0,0,0,9,0,0,20419.8
0,0,0,10,0,0,20475.8
0,0,0,11,0,0,20009.9
0,0,0,12,0,0,16376.6
0,0,0,13,0,0,15323.8
0,0,0,14,0,0,15135.7
0,0,0,15,0,0,15061.8
0,0,0,16,0,0,14627.2
0,0,0,17,0,0,13099.5
0,0,0,18,0,0,12275.2
0,0,0,19,0,0,11849.6
0,0,0,20,0,0,12022.1
0,0,0,21,0,0,12028.8
0,0,0,22,0,0,11995.2
0,0,0,23,0,0,11825
0,0,0,24,0,0,11336.6
