x_tx,y_tx,z_tx,x_rx,y_rx,z_rx,throughput_kbps
0,0,0,2,0,0,28896
0,0,0,2,2,0,28828.8
0,0,0,2,4,0,28804.2
0,0,0,2,5,0,28663
0,0,0,2,6,0,26266.2
0,0,0,2,7,0,19080.3
0,0,0,3,0,0,28840
0,0,0,4,0,0,28873.6
0,0,0,5,0,0,28790.7
0,0,0,6,0,0,26817.3
0,0,0,7,0,0,21990.1
0,0,0,8,0,0,20039
0,0,0,9,0,0,20538.6
0,0,0,10,0,0,20561
0,0,0,11,0,0,19956.2
0,0,0,12,0,0,16522.2
0,0,0,13,0,0,15180.5
0,0,0,14,0,0,15099.8
0,0,0,15,0,0,14956.5
0,0,0,16,0,0,14602.6
0,0,0,17,0,0,12895.7
0,0,0,18,0,0,11668.2
0,0,0,19,0,0,12096
0,0,0,20,0,0,12143
0,0,0,21,0,0,12136.3
0,0,0,22,0,0,12028.8
0,0,0,23,0,0,11916.8
0,0,0,24,0,0,11359
