x_tx,y_tx,z_tx,x_rx,y_rx,z_rx,throughput_kbps
0,0,0,2,0,0,28831
0,0,0,2,2,0,28806.4
0,0,0,2,4,0,28846.7
0,0,0,2,5,0,28701.1
0,0,0,2,6,0,26199
0,0,0,2,7,0,18907.8
0,0,0,3,0,0,28871.4
0,0,0,4,0,0,28817.6
0,0,0,5,0,0,28651.8
0,0,0,6,0,0,26987.5
0,0,0,7,0,0,22017
0,0,0,8,0,0,19947.2
0,0,0,9,0,0,20558.7
0,0,0,10,0,0,20460.2
0,0,0,11,0,0,20043.5
0,0,0,12,0,0,16638.7
0,0,0,13,0,0,15267.8
0,0,0,14,0,0,14927.4
0,0,0,15,0,0,14911.7
0,0,0,16,0,0,14537.6
0,0,0,17,0,0,12949.4
0,0,0,18,0,0,11567.4
0,0,0,19,0,0,12026.6
0,0,0,20,0,0,12044.5
0,0,0,21,0,0,12147.5
0,0,0,22,0,0,12105
0,0,0,23,0,0,11957.1
0,0,0,24,0,0,11435.2
