x_tx,y_tx,z_tx,x_rx,y_rx,z_rx,throughput_kbps
0,0,0,2,0,0,28840
0,0,0,2,2,0,28835.5
0,0,0,2,4,0,28833.3
0,0,0,2,5,0,28640.6
0,0,0,2,6,0,26304.3
0,0,0,2,7,0,19667.2
0,0,0,3,0,0,28808.6
0,0,0,4,0,0,28822.1
0,0,0,5,0,0,28775
0,0,0,6,0,0,27083.8
0,0,0,7,0,0,21584.6
0,0,0,8,0,0,19962.9
0,0,0,9,0,0,20563.2
0,0,0,10,0,0,20487
0,0,0,11,0,0,20025.6
0,0,0,12,0,0,16618.6
0,0,0,13,0,0,15216.3
0,0,0,14,0,0,15021.4
0,0,0,15,0,0,14925.1
0,0,0,16,0,0,14519.7
0,0,0,17,0,0,12871
0,0,0,18,0,0,11733.1
0,0,0,19,0,0,12107.2
0,0,0,20,0,0,12122.9
0,0,0,21,0,0,12201.3
0,0,0,22,0,0,12125.1
0,0,0,23,0,0,11934.7
0,0,0,24,0,0,11406.1
