x_tx,y_tx,z_tx,x_rx,y_rx,z_rx,throughput_kbps
0,0,0,2,0,0,11574.1
0,0,0,2,2,0,15361.9
0,0,0,2,4,0,17763.2
0,0,0,2,5,0,18114.9
0,0,0,2,6,0,11930.2
0,0,0,2,7,0,15207.4
0,0,0,3,0,0,12234.9
0,0,0,4,0,0,11159.7
0,0,0,5,0,0,11733.1
0,0,0,6,0,0,10353.3
0,0,0,7,0,0,11157.4
0,0,0,8,0,0,10030.7
0,0,0,9,0,0,10178.6
0,0,0,10,0,0,9345.28
0,0,0,11,0,0,9584.96
0,0,0,12,0,0,9504.32
0,0,0,13,0,0,9696.96
0,0,0,14,0,0,8971.2
0,0,0,15,0,0,9739.52
0,0,0,16,0,0,9148.16
0,0,0,17,0,0,8538.88
0,0,0,18,0,0,9121.28
0,0,0,19,0,0,8706.88
0,0,0,20,0,0,9139.2
0,0,0,21,0,0,7996.8
0,0,0,22,0,0,7936.32
0,0,0,23,0,0,8030.4
0,0,0,24,0,0,7828.8
