distance_m,loss_db,throughput_kbps
4.0,64.0,20193.0
4.0,64.0,20193.0
4.0,64.0,20193.0
4.0,64.0,20193.0
4.0,64.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,64.0,20193.0
4.0,64.0,20193.0
4.0,65.0,20193.0
4.0,64.0,20193.0
4.0,64.0,20193.0
4.0,63.0,20193.0
4.0,64.0,20193.0
4.0,64.0,20193.0
4.0,64.0,20193.0
4.0,64.0,20193.0
4.0,63.0,20193.0
4.0,64.0,20193.0
4.0,63.0,20193.0
4.0,64.0,20193.0
4.0,64.0,20193.0
4.0,63.0,20193.0
4.0,64.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,64.0,20193.0
4.0,64.0,20193.0
4.0,65.0,20193.0
4.0,64.0,20193.0
4.0,64.0,20193.0
4.0,64.0,20193.0
4.0,64.0,20193.0
4.0,64.0,20193.0
4.0,64.0,20193.0
4.0,64.0,20193.0
4.0,65.0,20193.0
4.0,65.0,20193.0
4.0,64.0,20193.0
4.0,64.0,20193.0
4.0,64.0,20193.0
4.0,65.0,20193.0
4.0,64.0,20193.0
4.0,65.0,20193.0
4.0,65.0,20193.0
4.0,65.0,20193.0
4.0,64.0,20193.0
4.0,65.0,20193.0
4.0,64.0,20193.0
4.0,65.0,20193.0
4.0,64.0,20193.0
4.0,64.0,20193.0
4.0,64.0,20193.0
4.0,64.0,20193.0
4.0,64.0,20193.0
4.0,64.0,20193.0
4.0,63.0,20193.0
4.0,64.0,20193.0
4.0,64.0,20193.0
4.0,64.0,20193.0
4.0,64.0,20193.0
4.0,64.0,20193.0
4.0,65.0,20193.0
4.0,64.0,20193.0
4.0,64.0,20193.0
4.0,65.0,20193.0
4.0,65.0,20193.0
4.0,65.0,20193.0
4.0,64.0,20193.0
4.0,64.0,20193.0
4.0,65.0,20193.0
4.0,64.0,20193.0
4.0,65.0,20193.0
4.0,64.0,20193.0
4.0,64.0,20193.0
4.0,63.0,20193.0
4.0,64.0,20193.0
4.0,64.0,20193.0
4.0,64.0,20193.0
4.0,65.0,20193.0
4.0,64.0,20193.0
4.0,64.0,20193.0
4.0,64.0,20193.0
4.0,64.0,20193.0
4.0,64.0,20193.0
4.0,64.0,20193.0
4.0,65.0,20193.0
4.0,65.0,20193.0
4.0,65.0,20193.0
4.0,64.0,20193.0
4.0,64.0,20193.0
4.0,66.0,20193.0
4.0,64.0,20193.0
4.0,64.0,20193.0
4.0,65.0,20193.0
4.0,64.0,20193.0
4.0,65.0,20193.0
4.0,66.0,20193.0
4.0,65.0,20193.0
4.0,66.0,20193.0
4.0,64.0,20193.0
4.0,64.0,20193.0
4.0,64.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,64.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,64.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,64.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,62.0,20193.0
4.0,63.0,20193.0
4.0,64.0,20193.0
4.0,64.0,20193.0
4.0,62.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,64.0,20193.0
4.0,63.0,20193.0
4.0,64.0,20193.0
4.0,62.0,20193.0
4.0,64.0,20193.0
4.0,64.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,64.0,20193.0
4.0,62.0,20193.0
4.0,63.0,20193.0
4.0,64.0,20193.0
4.0,64.0,20193.0
4.0,62.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,62.0,20193.0
4.0,63.0,20193.0
4.0,64.0,20193.0
4.0,63.0,20193.0
4.0,64.0,20193.0
4.0,65.0,20193.0
4.0,64.0,20193.0
4.0,65.0,20193.0
4.0,65.0,20193.0
4.0,65.0,20193.0
4.0,64.0,20193.0
4.0,64.0,20193.0
4.0,64.0,20193.0
4.0,65.0,20193.0
4.0,66.0,20193.0
4.0,64.0,20193.0
4.0,65.0,20193.0
4.0,63.0,20193.0
4.0,65.0,20193.0
4.0,63.0,20193.0
4.0,65.0,20193.0
4.0,64.0,20193.0
4.0,64.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,64.0,20193.0
4.0,64.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,62.0,20193.0
4.0,64.0,20193.0
4.0,64.0,20193.0
4.0,63.0,20193.0
4.0,64.0,20193.0
4.0,64.0,20193.0
4.0,64.0,20193.0
4.0,65.0,20193.0
4.0,63.0,20193.0
4.0,64.0,20193.0
4.0,64.0,20193.0
4.0,64.0,20193.0
4.0,63.0,20193.0
4.0,64.0,20193.0
4.0,64.0,20193.0
4.0,64.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,64.0,20193.0
4.0,65.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,64.0,20193.0
4.0,64.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,64.0,20193.0
4.0,62.0,20193.0
4.0,64.0,20193.0
4.0,64.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,62.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,62.0,20193.0
4.0,64.0,20193.0
4.0,63.0,20193.0
4.0,64.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,62.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,62.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,64.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,64.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,62.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,62.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,62.0,20193.0
4.0,62.0,20193.0
4.0,63.0,20193.0
4.0,64.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,62.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,64.0,20193.0
4.0,63.0,20193.0
4.0,62.0,20193.0
4.0,62.0,20193.0
4.0,63.0,20193.0
4.0,62.0,20193.0
4.0,63.0,20193.0
4.0,62.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,62.0,20193.0
4.0,63.0,20193.0
4.0,62.0,20193.0
4.0,62.0,20193.0
4.0,62.0,20193.0
4.0,62.0,20193.0
4.0,62.0,20193.0
4.0,62.0,20193.0
4.0,62.0,20193.0
4.0,61.0,20193.0
4.0,61.0,20193.0
4.0,61.0,20193.0
4.0,61.0,20193.0
4.0,61.0,20193.0
4.0,61.0,20193.0
4.0,61.0,20193.0
4.0,61.0,20193.0
4.0,61.0,20193.0
4.0,61.0,20193.0
4.0,60.0,20193.0
4.0,61.0,20193.0
4.0,61.0,20193.0
4.0,61.0,20193.0
4.0,62.0,20193.0
4.0,61.0,20193.0
4.0,60.0,20193.0
4.0,61.0,20193.0
4.0,61.0,20193.0
4.0,61.0,20193.0
4.0,60.0,20193.0
4.0,60.0,20193.0
4.0,61.0,20193.0
4.0,61.0,20193.0
4.0,60.0,20193.0
4.0,61.0,20193.0
4.0,61.0,20193.0
4.0,61.0,20193.0
4.0,61.0,20193.0
4.0,61.0,20193.0
4.0,60.0,20193.0
4.0,61.0,20193.0
4.0,62.0,20193.0
4.0,61.0,20193.0
4.0,61.0,20193.0
4.0,63.0,20193.0
4.0,64.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,62.0,20193.0
4.0,63.0,20193.0
4.0,62.0,20193.0
4.0,63.0,20193.0
4.0,62.0,20193.0
4.0,62.0,20193.0
4.0,62.0,20193.0
4.0,62.0,20193.0
4.0,62.0,20193.0
4.0,62.0,20193.0
4.0,62.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,62.0,20193.0
4.0,62.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,62.0,20193.0
4.0,62.0,20193.0
4.0,63.0,20193.0
4.0,62.0,20193.0
4.0,63.0,20193.0
4.0,64.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,62.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,64.0,20193.0
4.0,64.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,64.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,64.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,64.0,20193.0
4.0,64.0,20193.0
4.0,64.0,20193.0
4.0,65.0,20193.0
4.0,64.0,20193.0
4.0,63.0,20193.0
4.0,64.0,20193.0
4.0,64.0,20193.0
4.0,63.0,20193.0
4.0,64.0,20193.0
4.0,64.0,20193.0
4.0,64.0,20193.0
4.0,63.0,20193.0
4.0,62.0,20193.0
4.0,64.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,64.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,64.0,20193.0
4.0,64.0,20193.0
4.0,64.0,20193.0
4.0,63.0,20193.0
4.0,64.0,20193.0
4.0,64.0,20193.0
4.0,64.0,20193.0
4.0,64.0,20193.0
4.0,64.0,20193.0
4.0,63.0,20193.0
4.0,64.0,20193.0
4.0,64.0,20193.0
4.0,64.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,64.0,20193.0
4.0,64.0,20193.0
4.0,64.0,20193.0
4.0,64.0,20193.0
4.0,64.0,20193.0
4.0,64.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,62.0,20193.0
4.0,64.0,20193.0
4.0,64.0,20193.0
4.0,64.0,20193.0
4.0,63.0,20193.0
4.0,64.0,20193.0
4.0,64.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,64.0,20193.0
4.0,64.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,64.0,20193.0
4.0,64.0,20193.0
4.0,64.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,64.0,20193.0
4.0,63.0,20193.0
4.0,64.0,20193.0
4.0,64.0,20193.0
4.0,64.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,64.0,20193.0
4.0,64.0,20193.0
4.0,64.0,20193.0
4.0,64.0,20193.0
4.0,64.0,20193.0
4.0,64.0,20193.0
4.0,64.0,20193.0
4.0,65.0,20193.0
4.0,64.0,20193.0
4.0,64.0,20193.0
4.0,63.0,20193.0
4.0,65.0,20193.0
4.0,64.0,20193.0
4.0,63.0,20193.0
4.0,64.0,20193.0
4.0,63.0,20193.0
4.0,64.0,20193.0
4.0,63.0,20193.0
4.0,64.0,20193.0
4.0,65.0,20193.0
4.0,63.0,20193.0
4.0,62.0,20193.0
4.0,63.0,20193.0
4.0,62.0,20193.0
4.0,61.0,20193.0
4.0,63.0,20193.0
4.0,62.0,20193.0
4.0,63.0,20193.0
4.0,62.0,20193.0
4.0,63.0,20193.0
4.0,64.0,20193.0
4.0,64.0,20193.0
4.0,64.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,62.0,20193.0
4.0,64.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,64.0,20193.0
4.0,64.0,20193.0
4.0,63.0,20193.0
4.0,64.0,20193.0
4.0,64.0,20193.0
4.0,64.0,20193.0
4.0,64.0,20193.0
4.0,64.0,20193.0
4.0,65.0,20193.0
4.0,65.0,20193.0
4.0,64.0,20193.0
4.0,63.0,20193.0
4.0,65.0,20193.0
4.0,64.0,20193.0
4.0,64.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,64.0,20193.0
4.0,64.0,20193.0
4.0,64.0,20193.0
4.0,64.0,20193.0
4.0,65.0,20193.0
4.0,64.0,20193.0
4.0,64.0,20193.0
4.0,64.0,20193.0
4.0,64.0,20193.0
4.0,64.0,20193.0
4.0,64.0,20193.0
4.0,64.0,20193.0
4.0,64.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,64.0,20193.0
4.0,63.0,20193.0
4.0,64.0,20193.0
4.0,62.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,64.0,20193.0
4.0,64.0,20193.0
4.0,64.0,20193.0
4.0,64.0,20193.0
4.0,64.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,65.0,20193.0
4.0,63.0,20193.0
4.0,64.0,20193.0
4.0,62.0,20193.0
4.0,64.0,20193.0
4.0,63.0,20193.0
4.0,64.0,20193.0
4.0,64.0,20193.0
4.0,63.0,20193.0
4.0,64.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,64.0,20193.0
4.0,64.0,20193.0
4.0,63.0,20193.0
4.0,62.0,20193.0
4.0,63.0,20193.0
4.0,62.0,20193.0
4.0,64.0,20193.0
4.0,63.0,20193.0
4.0,62.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,62.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,62.0,20193.0
4.0,62.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,62.0,20193.0
4.0,62.0,20193.0
4.0,62.0,20193.0
4.0,63.0,20193.0
4.0,62.0,20193.0
4.0,62.0,20193.0
4.0,62.0,20193.0
4.0,62.0,20193.0
4.0,63.0,20193.0
4.0,62.0,20193.0
4.0,62.0,20193.0
4.0,62.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,62.0,20193.0
4.0,63.0,20193.0
4.0,62.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,64.0,20193.0
4.0,62.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,62.0,20193.0
4.0,63.0,20193.0
4.0,62.0,20193.0
4.0,62.0,20193.0
4.0,62.0,20193.0
4.0,64.0,20193.0
4.0,62.0,20193.0
4.0,62.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,62.0,20193.0
4.0,62.0,20193.0
4.0,62.0,20193.0
4.0,62.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,62.0,20193.0
4.0,63.0,20193.0
4.0,62.0,20193.0
4.0,63.0,20193.0
4.0,62.0,20193.0
4.0,63.0,20193.0
4.0,62.0,20193.0
4.0,62.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,62.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,62.0,20193.0
4.0,63.0,20193.0
4.0,62.0,20193.0
4.0,62.0,20193.0
4.0,62.0,20193.0
4.0,61.0,20193.0
4.0,62.0,20193.0
4.0,63.0,20193.0
4.0,62.0,20193.0
4.0,62.0,20193.0
4.0,62.0,20193.0
4.0,62.0,20193.0
4.0,62.0,20193.0
4.0,62.0,20193.0
4.0,62.0,20193.0
4.0,63.0,20193.0
4.0,62.0,20193.0
4.0,62.0,20193.0
4.0,62.0,20193.0
4.0,62.0,20193.0
4.0,62.0,20193.0
4.0,62.0,20193.0
4.0,62.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,62.0,20193.0
4.0,62.0,20193.0
4.0,62.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,62.0,20193.0
4.0,62.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,62.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,62.0,20193.0
4.0,62.0,20193.0
4.0,62.0,20193.0
4.0,61.0,20193.0
4.0,61.0,20193.0
4.0,61.0,20193.0
4.0,61.0,20193.0
4.0,62.0,20193.0
4.0,62.0,20193.0
4.0,61.0,20193.0
4.0,62.0,20193.0
4.0,61.0,20193.0
4.0,61.0,20193.0
4.0,62.0,20193.0
4.0,61.0,20193.0
4.0,63.0,20193.0
4.0,61.0,20193.0
4.0,63.0,20193.0
4.0,62.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,64.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,64.0,20193.0
4.0,63.0,20193.0
4.0,62.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,64.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,64.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,64.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,64.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,64.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,62.0,20193.0
4.0,62.0,20193.0
4.0,61.0,20193.0
4.0,61.0,20193.0
4.0,61.0,20193.0
4.0,61.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,64.0,20193.0
4.0,62.0,20193.0
4.0,62.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,62.0,20193.0
4.0,62.0,20193.0
4.0,62.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,62.0,20193.0
4.0,62.0,20193.0
4.0,62.0,20193.0
4.0,62.0,20193.0
4.0,62.0,20193.0
4.0,62.0,20193.0
4.0,62.0,20193.0
4.0,62.0,20193.0
4.0,62.0,20193.0
4.0,62.0,20193.0
4.0,62.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,62.0,20193.0
4.0,62.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,62.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,62.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,62.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,62.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,62.0,20193.0
4.0,62.0,20193.0
4.0,63.0,20193.0
4.0,62.0,20193.0
4.0,62.0,20193.0
4.0,63.0,20193.0
4.0,62.0,20193.0
4.0,62.0,20193.0
4.0,62.0,20193.0
4.0,62.0,20193.0
4.0,62.0,20193.0
4.0,62.0,20193.0
4.0,62.0,20193.0
4.0,62.0,20193.0
4.0,62.0,20193.0
4.0,63.0,20193.0
4.0,62.0,20193.0
4.0,61.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,62.0,20193.0
4.0,63.0,20193.0
4.0,62.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,62.0,20193.0
4.0,62.0,20193.0
4.0,63.0,20193.0
4.0,62.0,20193.0
4.0,62.0,20193.0
4.0,62.0,20193.0
4.0,62.0,20193.0
4.0,61.0,20193.0
4.0,62.0,20193.0
4.0,63.0,20193.0
4.0,62.0,20193.0
4.0,62.0,20193.0
4.0,62.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,62.0,20193.0
4.0,63.0,20193.0
4.0,62.0,20193.0
4.0,62.0,20193.0
4.0,62.0,20193.0
4.0,62.0,20193.0
4.0,62.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,61.0,20193.0
4.0,62.0,20193.0
4.0,62.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,64.0,20193.0
4.0,64.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,64.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,62.0,20193.0
4.0,64.0,20193.0
4.0,63.0,20193.0
4.0,64.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,64.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,64.0,20193.0
4.0,63.0,20193.0
4.0,64.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,64.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,62.0,20193.0
4.0,64.0,20193.0
4.0,63.0,20193.0
4.0,64.0,20193.0
4.0,62.0,20193.0
4.0,63.0,20193.0
4.0,64.0,20193.0
4.0,64.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,64.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,64.0,20193.0
4.0,63.0,20193.0
4.0,64.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,62.0,20193.0
4.0,63.0,20193.0
4.0,65.0,20193.0
4.0,64.0,20193.0
4.0,64.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
4.0,63.0,20193.0
