x_tx,y_tx,z_tx,x_rx,y_rx,z_rx,throughput_kbps
0,0,0,2,0,0,28835.5
0,0,0,2,2,0,28826.6
0,0,0,2,4,0,28855.7
0,0,0,2,5,0,28714.6
0,0,0,2,6,0,26196.8
0,0,0,2,7,0,18343.4
0,0,0,3,0,0,28808.6
0,0,0,4,0,0,28754.9
0,0,0,5,0,0,28748.2
0,0,0,6,0,0,26965.1
0,0,0,7,0,0,21620.5
0,0,0,8,0,0,19873.3
0,0,0,9,0,0,20576.6
0,0,0,10,0,0,20543
0,0,0,11,0,0,19900.2
0,0,0,12,0,0,16596.2
0,0,0,13,0,0,15353
0,0,0,14,0,0,15088.6
0,0,0,15,0,0,15043.8
0,0,0,16,0,0,14535.4
0,0,0,17,0,0,12983
0,0,0,18,0,0,11932.5
0,0,0,19,0,0,11892.2
0,0,0,20,0,0,11984
0,0,0,21,0,0,12071.4
0,0,0,22,0,0,12035.5
0,0,0,23,0,0,11856.3
0,0,0,24,0,0,11421.8
