x_tx,y_tx,z_tx,x_rx,y_rx,z_rx,throughput_kbps
0,0,0,2,0,0,28842.2
0,0,0,2,2,0,28857.9
0,0,0,2,4,0,28833.3
0,0,0,2,5,0,28759.4
0,0,0,2,6,0,26199
0,0,0,2,7,0,18643.5
0,0,0,3,0,0,28815.4
0,0,0,4,0,0,28833.3
0,0,0,5,0,0,28761.6
0,0,0,6,0,0,26900.2
0,0,0,7,0,0,22046.1
0,0,0,8,0,0,19958.4
0,0,0,9,0,0,20578.9
0,0,0,10,0,0,20563.2
0,0,0,11,0,0,19931.5
0,0,0,12,0,0,16459.5
0,0,0,13,0,0,15137.9
0,0,0,14,0,0,15008
0,0,0,15,0,0,14956.5
0,0,0,16,0,0,14465.9
0,0,0,17,0,0,12947.2
0,0,0,18,0,0,11329.9
0,0,0,19,0,0,12087
0,0,0,20,0,0,12080.3
0,0,0,21,0,0,12143
0,0,0,22,0,0,12066.9
0,0,0,23,0,0,11934.7
0,0,0,24,0,0,11430.7
