x_tx,y_tx,z_tx,x_rx,y_rx,z_rx,throughput_kbps
0,0,0,2,0,0,28806.4
0,0,0,2,2,0,28855.7
0,0,0,2,4,0,28817.6
0,0,0,2,5,0,28716.8
0,0,0,2,6,0,26322.2
0,0,0,2,7,0,19996.5
0,0,0,3,0,0,28828.8
0,0,0,4,0,0,28797.4
0,0,0,5,0,0,28725.8
0,0,0,6,0,0,26915.8
0,0,0,7,0,0,22122.2
0,0,0,8,0,0,19803.8
0,0,0,9,0,0,20561
0,0,0,10,0,0,20549.8
0,0,0,11,0,0,19956.2
0,0,0,12,0,0,16679
0,0,0,13,0,0,15263.4
0,0,0,14,0,0,15077.4
0,0,0,15,0,0,15028.2
0,0,0,16,0,0,14566.7
0,0,0,17,0,0,13018.9
0,0,0,18,0,0,12120.6
0,0,0,19,0,0,11957.1
0,0,0,20,0,0,12040
0,0,0,21,0,0,12111.7
0,0,0,22,0,0,12040
0,0,0,23,0,0,11858.6
0,0,0,24,0,0,11314.2
