x_tx,y_tx,z_tx,x_rx,y_rx,z_rx,throughput_kbps
0,0,0,2,0,0,28853.4
0,0,0,2,2,0,28837.8
0,0,0,2,4,0,28857.9
0,0,0,2,5,0,28703.4
0,0,0,2,6,0,26064.6
0,0,0,2,7,0,18202.2
0,0,0,3,0,0,28844.5
0,0,0,4,0,0,28840
0,0,0,5,0,0,28784
0,0,0,6,0,0,26853.1
0,0,0,7,0,0,21752.6
0,0,0,8,0,0,19906.9
0,0,0,9,0,0,20594.6
0,0,0,10,0,0,20547.5
0,0,0,11,0,0,20068.2
0,0,0,12,0,0,16600.6
0,0,0,13,0,0,15048.3
0,0,0,14,0,0,15050.6
0,0,0,15,0,0,14920.6
0,0,0,16,0,0,14501.8
0,0,0,17,0,0,12960.6
0,0,0,18,0,0,11780.2
0,0,0,19,0,0,11993
0,0,0,20,0,0,12017.6
0,0,0,21,0,0,12138.6
0,0,0,22,0,0,12109.4
0,0,0,23,0,0,11903.4
0,0,0,24,0,0,11347.8
