x_tx,y_tx,z_tx,x_rx,y_rx,z_rx,throughput_kbps
0,0,0,2,0,0,28907.2
0,0,0,2,2,0,28869.1
0,0,0,2,4,0,28855.7
0,0,0,2,5,0,28772.8
0,0,0,2,6,0,26268.5
0,0,0,2,7,0,19201.3
0,0,0,3,0,0,28844.5
0,0,0,4,0,0,28797.4
0,0,0,5,0,0,28734.7
0,0,0,6,0,0,26859.8
0,0,0,7,0,0,21394.2
0,0,0,8,0,0,19779.2
0,0,0,9,0,0,20594.6
0,0,0,10,0,0,20518.4
0,0,0,11,0,0,20007.7
0,0,0,12,0,0,16481.9
0,0,0,13,0,0,15326.1
0,0,0,14,0,0,15095.4
0,0,0,15,0,0,15003.5
0,0,0,16,0,0,14689.9
0,0,0,17,0,0,13081.6
0,0,0,18,0,0,12001.9
0,0,0,19,0,0,11984
0,0,0,20,0,0,12069.1
0,0,0,21,0,0,12109.4
0,0,0,22,0,0,12062.4
0,0,0,23,0,0,11889.9
0,0,0,24,0,0,11415
